origin_no	sort_id	token	number	frequency
3719	6421	73	96838	2.131e-05
3302	16093	##uf	96801	2.131e-05
3498	6620	pride	96797	2.131e-05
4469	6546	flower	96756	2.130e-05
2058	5385	800	96732	2.129e-05
2957	10483	##los	96684	2.128e-05
3357	6841	beast	96678	2.128e-05
3578	5707	slipped	96675	2.128e-05
2951	15068	ou	96669	2.128e-05
3118	6924	##sed	96653	2.127e-05
3117	8322	##tha	96640	2.127e-05
3788	5767	16th	96612	2.127e-05
3815	6526	exists	96610	2.126e-05
2382	10199	##mel	96526	2.125e-05
1412	6311	commanded	96482	2.124e-05
4434	6814	suppose	96459	2.123e-05
4197	6496	harbor	96409	2.122e-05
3461	6059	ambassador	96388	2.122e-05
3127	6905	abuse	96365	2.121e-05
3223	29745	##м	96356	2.121e-05
3667	17258	##vid	96354	2.121e-05
2843	7388	breast	96351	2.121e-05
